Name,Position,Team,Price,1,2,3,4,5,6
Egan,Defender,Sheffield Utd,4.8,2.9,3.3,2.8,1.9,2.4,2.9
BernardoSilva,Midfielder,Man City,7.4,2.2,2.7,3.5,2.1,3,2.5
Pulisic,Midfielder,Chelsea,8.2,0,2.5,3.4,2.6,2.2,2.8
Dunne,Defender,Burnley,4,0.8,0.5,0.8,0.6,0.7,0.8
Alonso,Defender,Chelsea,5.7,2.7,2.2,3,2.1,2.3,2.5
Garner,Midfielder,Man Utd,4.4,0,0,0,0,0,0
Kovacic,Midfielder,Chelsea,5.3,1.1,1.8,2.5,2,2.1,2.1
vandeBeek,Midfielder,Man Utd,6.7,0.5,0.4,0.4,0.3,0.4,0.4
Robson-Kanu,Forward,West Brom,5.2,0,0.6,0.6,0.6,0.5,0.6
Gilmour,Midfielder,Chelsea,4.4,0,0.4,0.5,0.4,0.4,0.4
Saiss,Defender,Wolves,5.2,0,0.4,0.5,0.4,0.4,0.4
Traore,Midfielder,Wolves,6.2,1.5,1.3,1.4,1.6,1.5,1.4
Gros,Midfielder,Brighton,5.8,2,1.5,1.5,1.1,1.6,1.7
Soyuncu,Defender,Leicester,5.3,2.6,4,3.7,3.8,3.3,2.2
Nketiah,Forward,Arsenal,5.6,1,0.9,0.8,1,1,0.9
Zinchenko,Defender,Man City,5.5,0.3,0.3,0.3,0.2,0.4,0.2
Pope,Goalkeeper,Burnley,5.4,4.1,3.6,3.9,3.5,3.8,4.1
Townsend,Midfielder,Crystal Palace,5.9,0.4,0.3,0.4,0.4,0.2,0.2
Origi,Forward,Liverpool,5.2,3.3,3.8,3.8,3,2.9,3.4
Adrian,Goalkeeper,Liverpool,4.4,0.7,0.8,0.7,0.8,0.6,0.6
Cavaleiro,Midfielder,Fulham,5.3,1.9,1.6,1.4,1.7,1.8,1.7
vanDijk,Defender,Liverpool,6.3,0,0,0,0,0,0
Hegazi,Defender,West Brom,4.2,0,0,0,0,0,0
Ward,Goalkeeper,Leicester,4.4,0,0,0,0,0,0
Norwood,Midfielder,Sheffield Utd,4.7,1,1.2,1.1,0.9,1,1.1
Foyth,Defender,Spurs,4.3,0,0,0,0,0,0
Pieters,Defender,Burnley,4.3,0,0.7,1.1,0.9,1,1.2
Guendouzi,Midfielder,Arsenal,4.7,0,0,0,0,0,0
Gillespie,Goalkeeper,Newcastle,4.4,0,0,0,0,0,0
Saint-Maximin,Midfielder,Newcastle,5.3,3.5,3.6,3.6,4.4,3.6,4.5
Hendrick,Midfielder,Newcastle,4.9,3.2,3.1,3.2,3.8,3.2,3.7
Hayden,Midfielder,Newcastle,4.8,1.4,1.4,1.4,1.6,1.4,1.6
Obafemi,Forward,Southampton,4.7,0.5,0.7,0.6,0.9,0.8,0.7
Randolph,Goalkeeper,West Ham,4.4,0,0,0,0,0,0
Lowton,Defender,Burnley,4.4,1.7,1,1.6,1.3,1.4,1.8
Azpilicueta,Defender,Chelsea,5.8,1.6,1.3,1.9,1.3,1.3,1.5
Podence,Midfielder,Wolves,5.5,3,2.5,2.9,3.3,3,2.9
Vydra,Forward,Burnley,4.9,0.8,0.6,0.7,0.7,0.7,0.7
Saliba,Defender,Arsenal,4.1,0,0,0,0,0,0
Jorginho,Midfielder,Chelsea,5.2,2.8,2.1,2.5,1.9,1.8,2.6
McNeil,Midfielder,Burnley,5.8,3.2,2.3,3.1,2.5,2.8,2.9
Wan-Bissaka,Defender,Man Utd,5.4,4.5,3,3,2.7,4.2,4
Ndidi,Midfielder,Leicester,4.8,0,0,0,0,0,0
Phillips,Midfielder,Leeds,4.9,1.9,1.9,1.9,2.1,2.2,1.7
Fraser,Midfielder,Newcastle,5.7,0,0,0,0,0,0
Firmino,Forward,Liverpool,9.2,3.1,3.2,3.1,3.8,3,3.2
Engels,Defender,Aston Villa,4.4,0.4,0.1,0.2,0.1,0.3,0.3
Burke,Midfielder,Sheffield Utd,4.4,1.2,1.4,1.2,1.1,1.1,1.1
Loftus-Cheek,Midfielder,Fulham,5.9,2.2,1.6,1.3,1.5,1.7,2
Ward,Defender,Crystal Palace,4.4,0,2.9,2.9,2,2,2.2
Costa,Midfielder,Leeds,5.6,3.2,3.1,2.9,3.3,3.6,2.7
Fabinho,Midfielder,Liverpool,5.4,0,2.1,2.1,2.4,2,2.1
FabioSilva,Forward,Wolves,5.2,0.2,0.2,0.2,0.2,0.2,0.2
Basham,Defender,Sheffield Utd,4.8,3,3.5,2.9,2.1,2.6,3.1
Mendy,Defender,Man City,5.9,0,3.6,3.8,2.2,3.8,2.2
Delap,Forward,Man City,4.4,0.1,0.2,0.2,0.2,0.2,0.2
Torreira,Midfielder,Arsenal,4.7,0,0,0,0,0,0
Mount,Midfielder,Chelsea,6.8,3.2,2.4,3.3,2.5,2.2,2.7
Barnes,Midfielder,Leicester,6.9,3.2,4.8,3.4,3.5,3.8,2.6
Austin,Forward,West Brom,5.1,0.7,0.8,0.7,0.7,0.6,0.8
Sigurdsson,Midfielder,Everton,6.8,1.9,2.1,1.7,1.6,1.5,1.6
Noble,Midfielder,West Ham,4.7,1.1,0.9,0.7,0.9,0.8,0.7
Wilson,Forward,Newcastle,6.6,0,0,0,0,0,0
Robertson,Defender,Liverpool,7.1,3.7,4.1,4,5,3.3,3.6
Sterling,Midfielder,Man City,11.5,3.9,5.1,6.8,3.9,6.6,4.7
LucasMoura,Midfielder,Spurs,6.8,2.4,2.1,2.2,2.5,2.3,2.4
Romero,Goalkeeper,Man Utd,4.9,0,0,0,0,0,0
McArthur,Midfielder,Crystal Palace,5.3,2.8,2.9,2.7,2.3,2.6,2.6
Ceballos,Midfielder,Arsenal,4.9,2.1,2.4,1.8,2,1.8,1.7
Christensen,Defender,Chelsea,4.8,2.3,1.9,2.6,1.8,2,2.1
Andone,Forward,Brighton,4.8,0,0,0,0,0,0
Ferguson,Defender,Crystal Palace,4,0,0,0,0,0,0
Marcal,Defender,Wolves,4.8,1.2,1.2,1.2,1.4,1.3,1.4
Xhaka,Midfielder,Arsenal,5.3,1.5,1.4,1.2,1.6,1.4,1.3
Wijnaldum,Midfielder,Liverpool,5.3,2.7,2.7,2.5,2.8,2.6,2.7
Benteke,Forward,Crystal Palace,5.5,0.5,0.5,0.5,0.5,0.5,0.5
Antonio,Forward,West Ham,6.2,0,4.9,3.9,5,4.8,4
Thiago,Midfielder,Liverpool,5.9,1.1,1.2,1.1,1.3,1.1,1.1
Lowe,Defender,Sheffield Utd,4.4,2.8,3.1,2.3,2,2.4,2.7
Ruddy,Goalkeeper,Wolves,4.4,0,0,0,0,0,0
Lamela,Midfielder,Spurs,5.8,0,1.3,1.3,1.3,1.3,1.3
Son,Midfielder,Spurs,9.6,4.7,5.1,5.4,5.5,5.1,5.2
Shaqiri,Midfielder,Liverpool,6.4,0.3,0.3,0.3,0.3,0.3,0.3
O'Connell,Defender,Sheffield Utd,4.8,0,0,0,0,0,0
Winks,Midfielder,Spurs,5.3,1.1,1.1,1.1,1.2,1.1,1.2
Doucoure,Midfielder,Everton,5.3,3,3.2,2.8,2.9,2.5,2.6
Alioski,Defender,Leeds,4.4,1.2,1.1,0.9,1.2,1.6,0.7
Perez,Midfielder,Leicester,6.1,2,2.9,2.3,2.3,2.3,1.8
Alisson,Goalkeeper,Liverpool,5.9,3.8,3.9,3.8,4.6,3.4,3.4
Havertz,Midfielder,Chelsea,8.3,0,3.2,4.4,3.3,2.8,3.6
Davis,Forward,Aston Villa,4.3,0.3,0.1,0.3,0.1,0.2,0.1
Manquillo,Defender,Newcastle,4.4,0.9,0.9,0.9,1.4,1,1.4
Garcia,Defender,Man City,4.8,1.1,1.9,1.9,1.1,2,1.2
Davies,Defender,Spurs,4.8,1.4,1.3,1.7,1.7,1.5,1.7
Konsa,Defender,Aston Villa,4.7,3.6,2.2,3.3,2.5,3.6,3.4
Vassilev,Forward,Aston Villa,4.4,0,0,0,0,0,0
Fernandinho,Defender,Man City,5.4,0,2.4,2.5,1.6,2.5,1.7
Fernandez,Defender,Newcastle,4.9,2.2,2.5,2.4,3.9,2.7,3.8
Connolly,Forward,Brighton,5.4,1.4,1.4,1.5,1.3,1.5,1.6
